DATE,TLMFGCON
2002-01-01,2134
2002-02-01,1972
2002-03-01,1994
2002-04-01,1971
2002-05-01,1976
2002-06-01,2027
2002-07-01,1906
2002-08-01,1780
2002-09-01,1747
2002-10-01,1837
2002-11-01,1835
2002-12-01,1747
2003-01-01,1508
2003-02-01,1516
2003-03-01,1659
2003-04-01,1680
2003-05-01,1848
2003-06-01,1944
2003-07-01,1826
2003-08-01,1850
2003-09-01,1938
2003-10-01,1991
2003-11-01,1912
2003-12-01,1837
2004-01-01,1624
2004-02-01,1715
2004-03-01,1733
2004-04-01,1757
2004-05-01,1852
2004-06-01,1788
2004-07-01,1893
2004-08-01,1952
2004-09-01,2020
2004-10-01,2238
2004-11-01,2388
2004-12-01,2400
2005-01-01,2108
2005-02-01,2120
2005-03-01,2282
2005-04-01,2307
2005-05-01,2278
2005-06-01,2379
2005-07-01,2360
2005-08-01,2505
2005-09-01,2542
2005-10-01,2569
2005-11-01,2562
2005-12-01,2557
2006-01-01,2332
2006-02-01,2226
2006-03-01,2478
2006-04-01,2666
2006-05-01,2681
2006-06-01,2879
2006-07-01,2758
2006-08-01,3117
2006-09-01,3028
2006-10-01,2864
2006-11-01,2788
2006-12-01,2859
2007-01-01,2554
2007-02-01,2609
2007-03-01,2740
2007-04-01,2966
2007-05-01,2977
2007-06-01,3285
2007-07-01,3494
2007-08-01,3490
2007-09-01,4214
2007-10-01,4311
2007-11-01,3800
2007-12-01,4193
2008-01-01,3664
2008-02-01,3723
2008-03-01,3880
2008-04-01,4085
2008-05-01,4421
2008-06-01,4693
2008-07-01,4528
2008-08-01,4724
2008-09-01,5065
2008-10-01,5256
2008-11-01,4888
2008-12-01,5178
2009-01-01,4847
2009-02-01,4957
2009-03-01,5153
2009-04-01,5249
2009-05-01,5279
2009-06-01,5168
2009-07-01,5002
2009-08-01,4823
2009-09-01,4701
2009-10-01,4630
2009-11-01,4266
2009-12-01,3823
2010-01-01,3397
2010-02-01,3379
2010-03-01,3963
2010-04-01,3806
2010-05-01,3615
2010-06-01,3697
2010-07-01,3493
2010-08-01,3427
2010-09-01,3407
2010-10-01,3238
2010-11-01,2942
2010-12-01,2815
2011-01-01,2297
2011-02-01,2467
2011-03-01,2843
2011-04-01,2824
2011-05-01,3136
2011-06-01,3657
2011-07-01,3466
2011-08-01,3775
2011-09-01,4105
2011-10-01,3939
2011-11-01,3856
2011-12-01,4195
2012-01-01,3340
2012-02-01,3406
2012-03-01,3722
2012-04-01,3824
2012-05-01,3980
2012-06-01,4090
2012-07-01,4029
2012-08-01,4156
2012-09-01,4305
2012-10-01,4340
2012-11-01,4137
2012-12-01,4412
2013-01-01,3784
2013-02-01,3803
2013-03-01,4086
2013-04-01,4090
2013-05-01,4095
2013-06-01,4256
2013-07-01,4714
2013-08-01,4758
2013-09-01,4618
2013-10-01,4669
2013-11-01,4457
2013-12-01,5188
2014-01-01,4246
2014-02-01,4039
2014-03-01,4089
2014-04-01,4392
2014-05-01,4453
2014-06-01,5018
2014-07-01,4949
2014-08-01,5130
2014-09-01,5509
2014-10-01,6283
2014-11-01,6122
2014-12-01,6414
2015-01-01,5926
2015-02-01,6023
2015-03-01,6462
2015-04-01,6734
2015-05-01,7088
2015-06-01,7617
2015-07-01,7104
2015-08-01,7195
2015-09-01,7630
2015-10-01,7438
2015-11-01,6961
2015-12-01,6968
2016-01-01,6007
2016-02-01,6144
2016-03-01,6552
2016-04-01,6526
2016-05-01,6852
2016-06-01,7140
2016-07-01,6958
2016-08-01,6964
2016-09-01,6846
2016-10-01,6526
2016-11-01,6531
2016-12-01,6588
2017-01-01,5609
2017-02-01,5345
2017-03-01,5910
2017-04-01,5736
2017-05-01,6193
2017-06-01,6082
2017-07-01,5932
2017-08-01,5907
2017-09-01,6057
2017-10-01,6049
2017-11-01,5830
2017-12-01,6032
2018-01-01,5358
2018-02-01,5525
2018-03-01,5702
2018-04-01,5607
2018-05-01,6045
2018-06-01,6138
2018-07-01,5969
2018-08-01,6520
2018-09-01,6537
2018-10-01,6493
2018-11-01,6156
2018-12-01,6459
2019-01-01,5921
2019-02-01,6087
2019-03-01,6559
2019-04-01,6463
2019-05-01,6780
2019-06-01,6739
2019-07-01,6847
2019-08-01,7008
2019-09-01,6990
2019-10-01,6963
2019-11-01,6976
2019-12-01,6747
2020-01-01,5920
2020-02-01,5932
2020-03-01,6058
2020-04-01,5816
2020-05-01,6052
2020-06-01,6395
2020-07-01,6205
2020-08-01,6144
2020-09-01,6103
2020-10-01,5955
2020-11-01,5591
2020-12-01,5673
2021-01-01,5194
2021-02-01,5274
